aces,doubleFautes,firstServe,firstServePointsWon,secondServePointsWon,breakPointsFaced,breakPointsSaved,serviceGamePlayed,serviceGamesWon,totalServicePointsWon,firstServeReturnPointsWon,secondServeReturnPointsWon,breakPointsOpportunities,breakPointsConverted,returnGamesPlayed,returnGamesWon,returnPointsWon,totalPointsWon,url,year
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/kamil-capkovic/c786/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/evgeny-kirillov/k777/player-stats?year=2009&surfaceType=clay,2009
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/takao-suzuki/s550/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/roberto-bautista-agut/bd06/player-stats?year=2009&surfaceType=clay,2009
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/frederik-nielsen/n390/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/juan-pablo-amado/a674/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/pedro-clar-rossello/c853/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/miguel-angel-lopez-jaen/l513/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/lars-poerschke/p735/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/noam-okun/o133/player-stats?year=2009&surfaceType=clay,2009
8,4,66%,60%,56%,18,56%,28,71%,58%,38%,53%,20,50%,29,34%,43%,51%,https://www.atptour.com/en/players/alexander-peya/p467/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/izak-van-der-merwe/v379/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/sam-groth/g940/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/simone-vagnozzi/v339/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/riccardo-ghedin/g822/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/carlos-poch-gradin/p646/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/todd-widom/w359/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/daniel-evans/e687/player-stats?year=2009&surfaceType=clay,2009
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/daniel-king-turner/k688/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/filip-prpic/p567/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/yannick-mertens/mg08/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/guillermo-olaso/o327/player-stats?year=2009&surfaceType=clay,2009
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/sergei-bubka/bc11/player-stats?year=2009&surfaceType=clay,2009
1,5,51%,58%,49%,10,70%,10,70%,53%,18%,33%,2,0%,10,0%,24%,41%,https://www.atptour.com/en/players/reda-el-amrani/e655/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/carlos-berlocq/b884/player-stats?year=2009&surfaceType=clay,2009
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/leonardo-tavares/t771/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/benedikt-dorsch/d385/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/greg-jones/j361/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/tobias-kamke/k839/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/stefano-galvani/g372/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/nick-lindahl/l836/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/alejandro-gonzalez/g892/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/konstantin-kravchuk/k776/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/augustin-gensse/g695/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/fabrice-martin/me04/player-stats?year=2013&surfaceType=clay,2013
