aces,doubleFautes,firstServe,firstServePointsWon,secondServePointsWon,breakPointsFaced,breakPointsSaved,serviceGamePlayed,serviceGamesWon,totalServicePointsWon,firstServeReturnPointsWon,secondServeReturnPointsWon,breakPointsOpportunities,breakPointsConverted,returnGamesPlayed,returnGamesWon,returnPointsWon,totalPointsWon,url,year
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/nicola-kuhn/ki74/player-stats?year=2017&surfaceType=clay,2017
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/marsel-ilhan/k771/player-stats?year=2017&surfaceType=clay,2017
13,1,61%,66%,50%,20,75%,20,75%,60%,22%,46%,5,40%,21,10%,31%,46%,https://www.atptour.com/en/players/daniel-altmaier/ae14/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/brydan-klein/k964/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/felix-auger-aliassime/ag37/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/cameron-norrie/n771/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/prajnesh-gunneswaran/ga94/player-stats?year=2017&surfaceType=clay,2017
14,15,54%,69%,46%,18,61%,27,74%,59%,19%,46%,11,18%,29,7%,29%,44%,https://www.atptour.com/en/players/thanasi-kokkinakis/kd46/player-stats?year=2017&surfaceType=clay,2017
1,1,53%,48%,50%,9,56%,8,50%,49%,13%,50%,3,33%,9,11%,26%,38%,https://www.atptour.com/en/players/guilherme-clezar/cc32/player-stats?year=2017&surfaceType=clay,2017
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/aleksandr-nedovyesov/n503/player-stats?year=2017&surfaceType=clay,2017
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/di-wu/w571/player-stats?year=2017&surfaceType=clay,2017
5,2,71%,70%,55%,5,60%,16,88%,66%,23%,35%,3,33%,17,6%,26%,47%,https://www.atptour.com/en/players/mohamed-safwat/sk47/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/radek-stepanek/s694/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/franco-ferreiro/f433/player-stats?year=2008&surfaceType=clay,2008
14,3,66%,69%,54%,26,62%,49,80%,64%,28%,43%,22,36%,52,15%,33%,48%,https://www.atptour.com/en/players/alejandro-falla/f444/player-stats?year=2008&surfaceType=clay,2008
0,1,56%,55%,31%,12,50%,9,33%,44%,43%,38%,7,43%,9,33%,41%,43%,https://www.atptour.com/en/players/daniel-munoz-de-la-nava/m915/player-stats?year=2008&surfaceType=clay,2008
12,3,63%,71%,42%,17,59%,26,73%,60%,30%,36%,16,25%,27,15%,32%,46%,https://www.atptour.com/en/players/adrian-cruciat/c666/player-stats?year=2008&surfaceType=clay,2008
20,10,71%,65%,43%,45,64%,59,73%,59%,29%,41%,23,39%,58,16%,33%,47%,https://www.atptour.com/en/players/sebastian-decoud/d479/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/brendan-evans/e254/player-stats?year=2008&surfaceType=clay,2008
13,4,51%,68%,51%,23,65%,26,69%,60%,34%,47%,9,44%,28,14%,38%,48%,https://www.atptour.com/en/players/jesse-huta-galung/h704/player-stats?year=2008&surfaceType=clay,2008
6,9,49%,69%,43%,14,36%,23,61%,56%,32%,57%,12,67%,23,35%,42%,49%,https://www.atptour.com/en/players/lukas-rosol/r685/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/laurent-recouderc/r628/player-stats?year=2008&surfaceType=clay,2008
3,6,66%,58%,47%,19,37%,28,57%,54%,34%,54%,34,24%,28,29%,44%,48%,https://www.atptour.com/en/players/diego-hartfield/h502/player-stats?year=2008&surfaceType=clay,2008
40,45,58%,64%,46%,112,50%,165,66%,56%,27%,48%,76,39%,159,19%,36%,47%,https://www.atptour.com/en/players/boris-pashanski/p642/player-stats?year=2008&surfaceType=clay,2008
5,5,67%,72%,36%,24,58%,32,69%,60%,29%,49%,19,32%,30,20%,36%,48%,https://www.atptour.com/en/players/jonas-bjorkman/b446/player-stats?year=2008&surfaceType=clay,2008
0,0,75%,68%,61%,7,71%,12,83%,66%,16%,57%,7,14%,13,8%,33%,48%,https://www.atptour.com/en/players/sebastien-grosjean/g379/player-stats?year=2008&surfaceType=clay,2008
17,8,59%,70%,51%,24,58%,46,78%,62%,14%,46%,13,15%,47,4%,25%,45%,https://www.atptour.com/en/players/eric-prodon/p487/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/ricardo-hocevar/h693/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/benedikt-dorsch/d385/player-stats?year=2008&surfaceType=clay,2008
10,10,63%,67%,41%,41,71%,38,68%,58%,31%,46%,22,36%,40,20%,36%,47%,https://www.atptour.com/en/players/edouard-roger-vasselin/r613/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/alex-bogomolov-jr./b842/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/tomas-tenconi/t332/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/pavel-snobel/s799/player-stats?year=2008&surfaceType=clay,2008
16,21,64%,63%,47%,63,52%,90,67%,57%,33%,48%,54,50%,91,30%,39%,48%,https://www.atptour.com/en/players/juan-pablo-brzezicki/b764/player-stats?year=2008&surfaceType=clay,2008
5,1,57%,62%,38%,14,36%,19,53%,52%,32%,44%,9,44%,20,20%,38%,45%,https://www.atptour.com/en/players/xavier-malisse/m680/player-stats?year=2008&surfaceType=clay,2008
15,6,51%,61%,50%,28,46%,36,58%,56%,27%,46%,22,32%,38,18%,35%,45%,https://www.atptour.com/en/players/santiago-giraldo/g725/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/kristian-pless/p491/player-stats?year=2008&surfaceType=clay,2008
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/rik-de-voest/d424/player-stats?year=2008&surfaceType=clay,2008
51,26,63%,63%,48%,125,51%,171,64%,57%,34%,51%,106,41%,169,25%,40%,49%,https://www.atptour.com/en/players/carlos-berlocq/b884/player-stats?year=2008&surfaceType=clay,2008
28,23,59%,64%,48%,81,60%,97,67%,58%,27%,43%,39,41%,100,16%,33%,46%,https://www.atptour.com/en/players/peter-luczak/l515/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/pere-riba/r750/player-stats?year=2008&surfaceType=clay,2008
13,4,49%,66%,44%,20,45%,31,65%,55%,18%,41%,9,11%,32,3%,28%,42%,https://www.atptour.com/en/players/josselin-ouanna/o264/player-stats?year=2008&surfaceType=clay,2008
0,6,58%,60%,50%,12,50%,15,60%,56%,34%,58%,8,63%,15,33%,44%,50%,https://www.atptour.com/en/players/rui-machado/ma49/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/danai-udomchoke/u043/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/mikhail-elgin/e180/player-stats?year=2008&surfaceType=clay,2008
5,4,47%,69%,44%,9,33%,16,63%,56%,28%,50%,14,21%,16,19%,36%,45%,https://www.atptour.com/en/players/alexander-peya/p467/player-stats?year=2008&surfaceType=clay,2008
40,22,62%,75%,42%,31,58%,56,77%,63%,23%,41%,15,27%,56,7%,31%,47%,https://www.atptour.com/en/players/daniel-brands/bc72/player-stats?year=2008&surfaceType=clay,2008
0,7,71%,54%,38%,15,47%,18,56%,50%,38%,63%,19,47%,19,47%,48%,49%,https://www.atptour.com/en/players/mathieu-montcourt/mb84/player-stats?year=2008&surfaceType=clay,2008
7,4,59%,64%,56%,22,55%,38,74%,61%,31%,48%,23,48%,40,28%,38%,49%,https://www.atptour.com/en/players/mikhail-kukushkin/k926/player-stats?year=2008&surfaceType=clay,2008
59,14,65%,77%,50%,29,72%,63,87%,67%,28%,42%,32,22%,61,11%,31%,49%,https://www.atptour.com/en/players/john-isner/i186/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/simon-stadler/s944/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/sam-warburg/w361/player-stats?year=2008&surfaceType=clay,2008
72,35,60%,64%,53%,124,54%,200,72%,60%,29%,47%,103,40%,198,21%,36%,48%,https://www.atptour.com/en/players/pablo-cuevas/c882/player-stats?year=2008&surfaceType=clay,2008
27,66,63%,62%,50%,159,58%,215,69%,58%,35%,52%,148,49%,219,33%,41%,50%,https://www.atptour.com/en/players/juan-ignacio-chela/c514/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/karol-beck/b804/player-stats?year=2008&surfaceType=clay,2008
38,24,65%,65%,49%,71,49%,116,69%,59%,23%,44%,43,30%,113,12%,30%,45%,https://www.atptour.com/en/players/olivier-patience/p488/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/raemon-sluiter/s693/player-stats?year=2009&surfaceType=clay,2009
2,1,60%,63%,48%,7,29%,11,55%,57%,31%,50%,9,33%,11,27%,39%,47%,https://www.atptour.com/en/players/federico-delbonis/d874/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/alex-kuznetsov/k737/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/ilija-bozoljac/ba57/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/donald-young/y124/player-stats?year=2009&surfaceType=clay,2009
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/roko-karanusic/k371/player-stats?year=2009&surfaceType=clay,2009
33,19,51%,72%,48%,63,57%,90,70%,60%,28%,53%,43,53%,88,26%,37%,50%,https://www.atptour.com/en/players/guillermo-canas/c433/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/uladzimir-ignatik/i236/player-stats?year=2009&surfaceType=clay,2009
21,34,66%,58%,49%,129,49%,166,60%,55%,33%,49%,93,45%,168,25%,39%,47%,https://www.atptour.com/en/players/diego-junqueira/j214/player-stats?year=2009&surfaceType=clay,2009
10,10,59%,75%,47%,11,55%,25,80%,63%,29%,39%,11,36%,26,15%,33%,48%,https://www.atptour.com/en/players/peter-polansky/pb22/player-stats?year=2009&surfaceType=clay,2009
13,6,44%,68%,58%,15,73%,20,80%,62%,15%,37%,1,0%,21,0%,25%,45%,https://www.atptour.com/en/players/ricardo-hocevar/h693/player-stats?year=2009&surfaceType=clay,2009
13,20,67%,69%,50%,32,66%,60,82%,63%,29%,43%,25,44%,59,19%,34%,50%,https://www.atptour.com/en/players/franco-ferreiro/f433/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/ruben-bemelmans/be54/player-stats?year=2009&surfaceType=clay,2009
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/michal-przysiezny/p701/player-stats?year=2009&surfaceType=clay,2009
22,10,53%,78%,47%,11,73%,22,86%,63%,17%,43%,7,29%,21,10%,30%,48%,https://www.atptour.com/en/players/ilija-bozoljac/ba57/player-stats?year=2009&surfaceType=clay,2009
4,0,47%,62%,31%,10,50%,8,38%,45%,22%,53%,1,100%,8,13%,35%,41%,https://www.atptour.com/en/players/ivan-dodig/d646/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/adrian-ungur/u061/player-stats?year=2009&surfaceType=clay,2009
16,15,54%,75%,47%,29,59%,53,77%,62%,21%,50%,20,40%,53,15%,31%,47%,https://www.atptour.com/en/players/alexandre-sidorenko/sd78/player-stats?year=2009&surfaceType=clay,2009
1,7,52%,52%,22%,23,57%,12,17%,38%,36%,44%,8,38%,11,27%,39%,38%,https://www.atptour.com/en/players/adrian-mannarino/me82/player-stats?year=2009&surfaceType=clay,2009
3,2,70%,78%,47%,3,33%,11,82%,69%,20%,54%,6,17%,11,9%,31%,48%,https://www.atptour.com/en/players/dominik-meffert/m836/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/andreas-haider-maurer/h804/player-stats?year=2009&surfaceType=clay,2009
2,5,53%,60%,36%,7,43%,7,43%,49%,30%,36%,3,33%,8,13%,31%,40%,https://www.atptour.com/en/players/grega-zemlja/z189/player-stats?year=2009&surfaceType=clay,2009
3,2,61%,69%,32%,8,63%,9,67%,54%,15%,26%,0,0%,9,0%,20%,39%,https://www.atptour.com/en/players/santiago-gonzalez/g551/player-stats?year=2009&surfaceType=clay,2009
4,6,58%,67%,35%,11,55%,13,62%,53%,12%,14%,1,0%,13,0%,13%,37%,https://www.atptour.com/en/players/jiri-vanek/v207/player-stats?year=2009&surfaceType=clay,2009
0,4,60%,57%,46%,8,50%,9,56%,53%,12%,42%,0,0%,8,0%,25%,42%,https://www.atptour.com/en/players/dieter-kindlmann/k436/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/julian-reister/r782/player-stats?year=2009&surfaceType=clay,2009
20,21,70%,68%,48%,87,63%,134,76%,62%,29%,47%,69,36%,133,19%,36%,49%,https://www.atptour.com/en/players/brian-dabul/d556/player-stats?year=2009&surfaceType=clay,2009
1,0,71%,52%,55%,12,67%,9,56%,53%,19%,50%,9,0%,8,0%,32%,43%,https://www.atptour.com/en/players/juan-pablo-brzezicki/b764/player-stats?year=2009&surfaceType=clay,2009
9,9,54%,74%,46%,11,45%,28,79%,61%,30%,55%,13,54%,27,26%,40%,51%,https://www.atptour.com/en/players/guillaume-rufin/ra17/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/marinko-matosevic/me05/player-stats?year=2009&surfaceType=clay,2009
10,4,63%,71%,54%,2,50%,10,90%,65%,11%,33%,2,0%,11,0%,17%,43%,https://www.atptour.com/en/players/jan-hernych/h442/player-stats?year=2013&surfaceType=clay,2013
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/danai-udomchoke/u043/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/jan-mertl/ma38/player-stats?year=2013&surfaceType=clay,2013
4,10,59%,66%,52%,11,27%,30,73%,61%,21%,44%,14,21%,30,10%,31%,46%,https://www.atptour.com/en/players/evgeny-korolev/k760/player-stats?year=2013&surfaceType=clay,2013
6,2,57%,75%,49%,5,20%,16,75%,64%,23%,49%,5,60%,17,18%,33%,47%,https://www.atptour.com/en/players/jorge-aguilar/a457/player-stats?year=2013&surfaceType=clay,2013
2,0,57%,57%,35%,11,64%,8,50%,48%,25%,41%,6,17%,9,11%,31%,39%,https://www.atptour.com/en/players/agustin-velotti/v620/player-stats?year=2013&surfaceType=clay,2013
7,1,77%,60%,53%,22,73%,22,73%,59%,25%,52%,10,30%,22,14%,32%,47%,https://www.atptour.com/en/players/potito-starace/s843/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/peter-polansky/pb22/player-stats?year=2013&surfaceType=clay,2013
16,4,66%,67%,45%,23,61%,35,74%,60%,24%,51%,15,40%,34,18%,34%,47%,https://www.atptour.com/en/players/michal-przysiezny/p701/player-stats?year=2013&surfaceType=clay,2013
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/fred-gil/g717/player-stats?year=2013&surfaceType=clay,2013
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/di-wu/w571/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/peter-gojowczyk/g967/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/andrej-martin/mf35/player-stats?year=2013&surfaceType=clay,2013
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/amir-weintraub/w471/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/sergio-gutierrez-ferrol/g935/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/arnau-brugues-davi/ba77/player-stats?year=2013&surfaceType=clay,2013
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/boris-pashanski/p642/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/hiroki-moriya/mi01/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/jimmy-wang/w373/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/cedrik-marcel-stebe/sk94/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/karol-beck/b804/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/bobby-reynolds/r483/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/guido-andreozzi/a887/player-stats?year=2013&surfaceType=clay,2013
28,17,57%,78%,54%,31,74%,59,86%,68%,27%,51%,26,38%,58,17%,35%,51%,https://www.atptour.com/en/players/jack-sock/sm25/player-stats?year=2013&surfaceType=clay,2013
1,0,70%,49%,53%,14,71%,8,50%,50%,20%,40%,6,0%,8,0%,28%,40%,https://www.atptour.com/en/players/john-millman/mh30/player-stats?year=2013&surfaceType=clay,2013
6,1,55%,76%,59%,5,60%,10,80%,68%,20%,21%,0,0%,10,0%,20%,45%,https://www.atptour.com/en/players/dustin-brown/ba65/player-stats?year=2013&surfaceType=clay,2013
6,25,70%,56%,48%,57,51%,67,58%,53%,27%,57%,38,47%,67,27%,39%,47%,https://www.atptour.com/en/players/diego-schwartzman/sm37/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/igor-kunitsyn/k403/player-stats?year=2013&surfaceType=clay,2013
5,5,68%,59%,45%,12,50%,18,67%,55%,21%,42%,7,14%,18,6%,27%,42%,https://www.atptour.com/en/players/denis-kudla/kb09/player-stats?year=2013&surfaceType=clay,2013
3,7,58%,67%,37%,16,50%,18,56%,54%,25%,50%,12,17%,18,11%,34%,44%,https://www.atptour.com/en/players/andrey-golubev/g806/player-stats?year=2013&surfaceType=clay,2013
4,8,56%,67%,43%,25,56%,31,65%,57%,27%,53%,24,17%,30,13%,37%,47%,https://www.atptour.com/en/players/daniel-munoz-de-la-nava/m915/player-stats?year=2013&surfaceType=clay,2013
11,14,56%,72%,38%,37,62%,43,67%,57%,26%,46%,15,47%,46,15%,34%,45%,https://www.atptour.com/en/players/dusan-lajovic/l987/player-stats?year=2013&surfaceType=clay,2013
40,12,60%,68%,55%,40,63%,73,79%,63%,23%,53%,39,23%,74,12%,34%,48%,https://www.atptour.com/en/players/rhyne-williams/w522/player-stats?year=2013&surfaceType=clay,2013
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/ze-zhang/z272/player-stats?year=2013&surfaceType=clay,2013
28,2,67%,84%,47%,4,75%,17,94%,72%,26%,36%,2,0%,17,0%,30%,50%,https://www.atptour.com/en/players/ivo-karlovic/k336/player-stats?year=2013&surfaceType=clay,2013
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/mikhail-kukushkin/k926/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/maxime-authom/a789/player-stats?year=2013&surfaceType=clay,2013
5,5,63%,59%,54%,20,70%,25,76%,57%,21%,55%,12,42%,25,20%,35%,48%,https://www.atptour.com/en/players/adrian-mannarino/me82/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/ryan-sweeting/sg87/player-stats?year=2013&surfaceType=clay,2013
3,4,62%,59%,43%,22,68%,17,59%,53%,38%,48%,16,31%,17,29%,42%,48%,https://www.atptour.com/en/players/wayne-odesnik/o234/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/ivan-sergeyev/se69/player-stats?year=2013&surfaceType=clay,2013
30,13,58%,80%,48%,20,55%,44,80%,67%,20%,42%,15,27%,45,9%,30%,48%,https://www.atptour.com/en/players/joao-souza/sg64/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/simon-greul/g511/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/jeremy-jahn/j400/player-stats?year=2017&surfaceType=clay,2017
4,1,79%,63%,52%,33,79%,27,74%,60%,26%,51%,20,35%,27,26%,38%,50%,https://www.atptour.com/en/players/simone-bolelli/ba98/player-stats?year=2017&surfaceType=clay,2017
